Name,Distance,Rating,Votes,Address,Website,OriginFile
Shashi Medical Seepz MIDC Next to Aakruti Center Point Andheri East,1.02 KM,4.3,45 Votes,"Shop No D-14, Central Road , MIDC, Andheri East, Mumbai - 400093, Seepz, MIDC, Next to Aakruti Center Point",https://www.justdial.com/Mumbai/Shashi-Medical-Seepz-MIDC-Next-to-Aakruti-Center-Point-Andheri-East/022PXX22-XX22-101008184419-B9W5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
A Mart Super Market Near Canossa Convent School Shere Punjab Mahakali Andheri East,1.79 KM,3.9,448 Votes,"Shop No 3,4,5 Sapher Building, Mahakali Cross Road, Mahakali-Andheri East, Mumbai - 400093, Near Canossa Convent School & Shere Punjab",https://www.justdial.com/Mumbai/A-Mart-Super-Market-Near-Canossa-Convent-School-Shere-Punjab-Mahakali-Andheri-East/022PXX22-XX22-190213111020-V1K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Shanti General Store Near By Jain Mandir Andheri East,0.34 KM,4.2,5 Votes,"Mehul Apartment, Bhagwan Mahaveer Marg, Andheri East, Mumbai - 400059, Near By Jain Mandir",https://www.justdial.com/Mumbai/Shanti-General-Store-Near-By-Jain-Mandir-Andheri-East/022PXX22-XX22-180726144605-B3Y7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Savla General Store Near Off marol Maroshi Road Near Bus Stop Marol Village Andheri East,0.83 KM,4.2,34 Votes,"Shop No -1, Marol Village Road, Andheri East, Mumbai - 400059, Near Off.marol Maroshi Road, Near Bus Stop, Marol Village",https://www.justdial.com/Mumbai/Savla-General-Store-Near-Off-marol-Maroshi-Road-Near-Bus-Stop-Marol-Village-Andheri-East/022PXX22-XX22-121121153745-S5V2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Ganesh General Stores Near seven hill hospital Marol Pipeline Andheri East,1.04 KM,4.4,34 Votes,"Shop no 1 and 2, Marol Maroshi Road, Marol Pipeline-Andheri East, Mumbai - 400059, Near seven hill hospital",https://www.justdial.com/Mumbai/Ganesh-General-Stores-Near-seven-hill-hospital-Marol-Pipeline-Andheri-East/022PXX22-XX22-170207134326-N6A8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Super Janta Stores Near Holy Family Church Andheri East,1.34 KM,3.6,14 Votes,"Shop No 4 Grace Chamber, Sir M. V Road, Andheri East, Mumbai - 400093, Near Holy Family Church",https://www.justdial.com/Mumbai/Super-Janta-Stores-Near-Holy-Family-Church-Andheri-East/022PXX22-XX22-160119161032-N1Y9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Patel Bakery And General Store Bombay Cambridge School Andheri East,1.09 KM,4.4,12 Votes,"2/cicila Cottage Dewalwadi Chakala, Bombay Cambridge Road, Andheri East, Mumbai - 400099, Bombay Cambridge School",https://www.justdial.com/Mumbai/Patel-Bakery-And-General-Store-Bombay-Cambridge-School-Andheri-East/022PXX22-XX22-170127144351-Z5L8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Diamond Medical General Store Near Vijay Nagar Bus Stop Andheri East,1.49 KM,4.5,14 Votes,"Building No E-4, Shop No 5, Naina Vijay Co-Operative Housing Society Limited, Marol Maroshi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar Bus Stop",https://www.justdial.com/Mumbai/Diamond-Medical-General-Store-Near-Vijay-Nagar-Bus-Stop-Andheri-East/022PXX22-XX22-130416142508-H3D1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Farm House Super Market Near St John School Andheri East,0.48 KM,4.2,8 Votes,"Shop No 3 and 4, Vicmom Co Operative Society, Marol Church Road, Andheri East, Mumbai - 400059, Near St John School",https://www.justdial.com/Mumbai/Farm-House-Super-Market-Near-St-John-School-Andheri-East/022PXX22-XX22-160111141355-Y6Z4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Kinjal Medical General Stores Oriental Aster Andheri East,0.95 KM,4.2,41 Votes,"1 Nanda Deep Tarun Bharat Society, Tarun Bharat Road, Andheri East, Mumbai - 400099, Oriental Aster",https://www.justdial.com/Mumbai/Kinjal-Medical-General-Stores-Oriental-Aster-Andheri-East/022PXX22-XX22-000731295425-U3G2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
