Name,Distance,Rating,Votes,Address,Website,OriginFile
Suryoday Stationery General Store Gautam Nagar Mahalaxmi,0.62 KM,,0 Votes,"Shop No.A-1, Mahalaxmi, Mumbai - 400011, Gautam Nagar",https://www.justdial.com/Mumbai/Suryoday-Stationery-General-Store-Gautam-Nagar-Mahalaxmi/022PXX22-XX22-160428110916-D8T3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kalaniya General Store,0.63 KM,,0 Votes,"201/A, Madanpura, Madanpura, M A Road, Mumbai - 400011",https://www.justdial.com/Mumbai/Kalaniya-General-Store/022PXX22-XX22-191227232449-A4D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Ali Hasan General Stores,0.63 KM,3.0,1 Votes,"Bharucha Compound, Pai, Byculla W, Mumbai - 400011",https://www.justdial.com/Mumbai/Ali-Hasan-General-Stores/022PXX22-XX22-200629131457-W5S5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Azad Cloth Stores Jacob Circle Mahalaxmi,0.64 KM,,0 Votes,"56, Rasul Building, K K Marg, Saat Road, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Azad-Cloth-Stores-Jacob-Circle-Mahalaxmi/022P1979751_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Roman Dhanya Bhandar Shop Opposite Kotak Mahindra Bank Mahalaxmi,0.65 KM,,0 Votes,"42 - D, Sakhubai Korgaonkar Niwas, K Khadye Marg, Jacob Circle, Mahalaxmi, Mumbai - 400011, Opposite Kotak Mahindra Bank",https://www.justdial.com/Mumbai/Roman-Dhanya-Bhandar-Shop-Opposite-Kotak-Mahindra-Bank-Mahalaxmi/022PXX22-XX22-110328164616-E5M1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Naik General Stores Tailors K K Marg Near S Bridge Bhaykhala,0.65 KM,,0 Votes,"10/12, Shambhu Nayak Building, Bhaykhala, Mumbai - 400011, K.K. Marg, Near S. Bridge",https://www.justdial.com/Mumbai/Naik-General-Stores-Tailors-K-K-Marg-Near-S-Bridge-Bhaykhala/022PXX22-XX22-171009162802-Y5U8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Royal General Stores Sant Gaadge Maharaj Chowk Saat Rasta Mahalaxmi,0.65 KM,,0 Votes,"Shop No 8, Rangwala Building, Shahir Amar Shakh Road, Mahalaxmi, Mumbai - 400011, Sant Gaadge Maharaj Chowk, Saat Rasta",https://www.justdial.com/Mumbai/Royal-General-Stores-Sant-Gaadge-Maharaj-Chowk-Saat-Rasta-Mahalaxmi/022PXX22-XX22-190513195006-Y9Z2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Jathar General Stores Jacob Circle Mahalaxmi,0.66 KM,,0 Votes,"Shop-3 sai sadden bldg., K.K. Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Jathar-General-Stores-Jacob-Circle-Mahalaxmi/022PXX22-XX22-130111142330-A4N2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Purnima General Store Near Mahalakshmi Mahalaxmi,0.66 KM,,0 Votes,"Old Aga Building, Sadat Rasta Mumbai, Mahalaxmi, Mumbai - 400011, Near Mahalakshmi",https://www.justdial.com/Mumbai/Purnima-General-Store-Near-Mahalakshmi-Mahalaxmi/022PXX22-XX22-131209132616-A8V6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Jadhav General stores Jacob Circle Mahalaxmi,0.66 KM,,0 Votes,"Astral building, K.K.Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Jadhav-General-stores-Jacob-Circle-Mahalaxmi/022PXX22-XX22-140719113923-T9M5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Subhash Cloth Stores Mahalaxmi,,,0 Votes,"325 Delisle Rd & N M Joshi Marg, Mahalaxmi, Mumbai - 400011",https://www.justdial.com/Mumbai/Subhash-Cloth-Stores-Mahalaxmi/022P1933339_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
